Ano;Mês;Região;Meta_Receita;Meta_Lucro;Meta_Pedidos
2022;1;Sul;216404.77;54101.19;67
2022;1;Sudeste;161079.7;40269.93;73
2022;1;Norte;155020.34;38755.08;98
2022;1;Nordeste;153153.14;38288.29;114
2022;1;Centro-Oeste;100829.36;25207.34;134
2022;2;Sul;229827.93;57456.98;94
2022;2;Sudeste;93780.84;23445.21;62
2022;2;Norte;99684.7;24921.18;83
2022;2;Nordeste;87527.55;21881.89;136
2022;2;Centro-Oeste;120415.76;30103.94;113
2022;3;Sul;218745.14;54686.29;91
2022;3;Sudeste;198787.93;49696.98;84
2022;3;Norte;173712.35;43428.09;92
2022;3;Nordeste;200727.31;50181.83;131
2022;3;Centro-Oeste;237453.01;59363.25;48
2022;4;Sul;188540.52;47135.13;121
2022;4;Sudeste;87550.46;21887.61;140
2022;4;Norte;220853.12;55213.28;55
2022;4;Nordeste;133355.52;33338.88;117
2022;4;Centro-Oeste;117673.85;29418.46;67
2022;5;Sul;143377.17;35844.29;148
2022;5;Sudeste;172447.37;43111.84;131
2022;5;Norte;201570.86;50392.71;91
2022;5;Nordeste;80215.81;20053.95;144
2022;5;Centro-Oeste;117982.17;29495.54;80
2022;6;Sul;133661.08;33415.27;40
2022;6;Sudeste;210291.42;52572.85;43
2022;6;Norte;108449.55;27112.39;83
2022;6;Nordeste;213518.74;53379.69;101
2022;6;Centro-Oeste;112813.89;28203.47;106
2022;7;Sul;81965.49;20491.37;43
2022;7;Sudeste;91658.59;22914.65;149
2022;7;Norte;130031.57;32507.89;85
2022;7;Nordeste;225545.61;56386.4;52
2022;7;Centro-Oeste;243728.44;60932.11;51
2022;8;Sul;234907.51;58726.88;111
2022;8;Sudeste;89315.83;22328.96;135
2022;8;Norte;235436.26;58859.07;143
2022;8;Nordeste;95404.79;23851.2;77
2022;8;Centro-Oeste;183289.53;45822.38;138
2022;9;Sul;178327.73;44581.93;64
2022;9;Sudeste;235269.04;58817.26;120
2022;9;Norte;213349.75;53337.44;87
2022;9;Nordeste;86150.95;21537.74;85
2022;9;Centro-Oeste;137127.3;34281.83;113
2022;10;Sul;96131.11;24032.78;144
2022;10;Sudeste;205748.15;51437.04;115
2022;10;Norte;117843.91;29460.98;113
2022;10;Nordeste;150003.32;37500.83;96
2022;10;Centro-Oeste;93852.27;23463.07;95
2022;11;Sul;215142.07;53785.52;103
2022;11;Sudeste;93056.5;23264.12;40
2022;11;Norte;171165.55;42791.39;122
2022;11;Nordeste;132902.11;33225.53;58
2022;11;Centro-Oeste;181565.76;45391.44;66
2022;12;Sul;200213.0;50053.25;136
2022;12;Sudeste;222048.17;55512.04;148
2022;12;Norte;174944.94;43736.23;131
2022;12;Nordeste;242217.63;60554.41;148
2022;12;Centro-Oeste;239079.62;59769.9;86
2023;1;Sul;82936.34;20734.08;129
2023;1;Sudeste;97240.24;24310.06;94
2023;1;Norte;94233.99;23558.5;115
2023;1;Nordeste;117400.55;29350.14;144
2023;1;Centro-Oeste;103884.52;25971.13;137
2023;2;Sul;113101.26;28275.31;113
2023;2;Sudeste;140012.44;35003.11;57
2023;2;Norte;87155.51;21788.88;150
2023;2;Nordeste;211183.73;52795.93;73
2023;2;Centro-Oeste;87029.26;21757.31;46
2023;3;Sul;240423.78;60105.94;145
2023;3;Sudeste;116243.56;29060.89;126
2023;3;Norte;92417.1;23104.28;100
2023;3;Nordeste;164324.54;41081.13;106
2023;3;Centro-Oeste;174464.12;43616.03;89
2023;4;Sul;106264.92;26566.23;97
2023;4;Sudeste;123330.72;30832.68;40
